date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:05	18498/18498	---M--	200	added ('OK')	image/jpeg	etag:%224842-568585d2a0940%22	https://wascade.ma/wp-content/uploads/2018/03/mogador2.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/mogador2.jpg	(from https://wascade.ma/)
23:14:05	24685/24685	---M--	200	added ('OK')	image/jpeg	etag:%22606d-5685862781180%22	https://wascade.ma/wp-content/uploads/2018/03/citroen.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/citroen.jpg	(from https://wascade.ma/)
23:14:05	31915/31915	---M--	200	added ('OK')	image/jpeg	etag:%227cab-568586183ed80%22	https://wascade.ma/wp-content/uploads/2018/03/Dawajine-almaghrib.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/Dawajine-almaghrib.jpg	(from https://wascade.ma/)
23:14:05	19868/19868	---M--	200	added ('OK')	image/jpeg	etag:%224d9c-568585be99a00%22	https://wascade.ma/wp-content/uploads/2018/03/peugeot.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/peugeot.jpg	(from https://wascade.ma/)
23:14:06	12777/12777	---M--	200	added ('OK')	image/jpeg	etag:%2231e9-568586137a240%22	https://wascade.ma/wp-content/uploads/2018/03/golden-tulip-farah.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/golden-tulip-farah.jpg	(from https://wascade.ma/)
23:14:06	34607/34607	---M--	200	added ('OK')	image/jpeg	etag:%22872f-568585fe7f0c0%22	https://wascade.ma/wp-content/uploads/2018/03/hotel-rabat.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/hotel-rabat.jpg	(from https://wascade.ma/)
23:14:06	24208/24208	---M--	200	added ('OK')	image/jpeg	etag:%225e90-5747e456c9ac0%22	https://wascade.ma/wp-content/uploads/2018/08/logo-pullman.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/08/logo-pullman.jpg	(from https://wascade.ma/)
23:14:07	8307/8307	---M--	200	added ('OK')	image/jpeg	etag:%222073-568585caff740%22	https://wascade.ma/wp-content/uploads/2018/03/percall.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/percall.jpg	(from https://wascade.ma/)
23:14:07	10095/10095	---M--	200	added ('OK')	image/jpeg	etag:%22276f-5685864e9adc0%22	https://wascade.ma/wp-content/uploads/2018/03/bahreen.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/bahreen.jpg	(from https://wascade.ma/)
23:14:07	28132/28132	---M--	200	added ('OK')	image/jpeg	etag:%226de4-5747e459a6180%22	https://wascade.ma/wp-content/uploads/2018/08/safran-logo.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/08/safran-logo.jpg	(from https://wascade.ma/)
23:14:07	10644/10644	---M--	200	added ('OK')	image/jpeg	etag:%222994-568585ced0040%22	https://wascade.ma/wp-content/uploads/2018/03/oman.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/oman.jpg	(from https://wascade.ma/)
23:14:09	23846/23846	---M--	200	added ('OK')	application/x-javascript	etag:%22pri1522075653%22	https://wascade.ma/wp-content/cache/minify/5e707.js	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/cache/minify/5e707.js	(from https://wascade.ma/)
23:14:10	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-5747dfa24c100%22	https://wascade.ma/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:10	142839/142839	---M--	200	added ('OK')	application/x-javascript	etag:%22pri1544670507%22	https://wascade.ma/wp-content/cache/minify/d096e.js	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/cache/minify/d096e.js	(from https://wascade.ma/)
23:14:11	34284/34284	---M--	200	added ('OK')	application/x-font-ttf	etag:%2285ec-56851da42bdc0%22	https://wascade.ma/wp-content/uploads/stm_fonts/stm/stm.ttf?p9qotg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/stm_fonts/stm/stm8e1e.ttf	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:11	34432/34432	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228680-56851da42bdc0%22	https://wascade.ma/wp-content/uploads/stm_fonts/stm/stm.eot?p9qotg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/stm_fonts/stm/stm8e1e.eot	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:11	34360/34360	---M--	200	added ('OK')	application/font-woff	etag:%228638-56851da42bdc0%22	https://wascade.ma/wp-content/uploads/stm_fonts/stm/stm.woff?p9qotg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/stm_fonts/stm/stm8e1e.woff	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:12	3692/3692	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e6c-56851da42bdc0%22	https://wascade.ma/wp-content/uploads/stm_fonts/mega/mega.eot?1e23f5	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/stm_fonts/mega/megaf0fd.eot	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:12	3540/3540	---M--	200	added ('OK')	application/x-font-ttf	etag:%22dd4-56851da42bdc0%22	https://wascade.ma/wp-content/uploads/stm_fonts/mega/mega.ttf?1e23f5	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/stm_fonts/mega/megaf0fd.ttf	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
